1. agencias		Comentário: Cadastro das agências bancárias onde os funcionários podem ter uma conta.			
3	fkteltipo	smallint	NI	Nao	fk [fk2editoratel]=[fkteltipo] apontando para a tabela telefonestipos[pkteltipo].
4	nutelefone	character	15	Sim	Número do telefone com operadora+DDD+número sem traços ou parenteses.
5	txnomecontato	character	30	Nao	Nome de uma pessoa que atende como contato no telefone.
6	dtcadeditoratel	date	NI	Nao	Data de geração do registro.
					
36. empresas		Comentário: Cadastro de empresas onde os funcionarios trabalham ou trabalharam.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkempresa	integer	NI	Sim	pk da Tabela [pkempresa]=[pkempresa].
2	txnomeusual	character varying	150	Sim	Nome usual completo (sem abreviações].
3	txrazaosocial	character varying	250	Sim	Razão social completa
4	nucnpj	character	16	Nao	Número do CNPJ da Empresa (somente números].
5	fklogradouro	integer	NI	Nao	fk [fk1empresa]=[fklogradouro] apontando apontando para a tabela logradouros[pklogradouro] onde está a empresa
6	txcomplemento	character varying	25	Nao	Texto com o complemento do logradouro comercial do cliente (número, andar, etc.]
7	nucep	character	8	Nao	Número do CEP (somente números].
8	fksetoratuacao	integer	NI	Nao	fk [fk2empresa]=[fksetoratuacao] apontando a tabela setoresdeatuacao[pksetoratuacao].
9	aoporteempresa	character	1	Nao	P|M|G – Porte da empresa (Pequena | Média | Grande].
10	dtfundacao	date	NI	Nao	Data de fundação da empresa.
11	dtcadempresa	date	NI	Sim	Data de geração do registro.
					
37. empresastels		Comentário: Registros dos telefones de cada empresa.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkempresatel	integer	NI	Sim	pk da Tabela [pkempresatel]=[pkempresatel].
2	fkempresa	integer	NI	Sim	fk [fk1empresatel]=[fkempresa] apontando para a tabela empresas[pkempresa].
3	fkteltipo	smallint	NI	Nao	fk [fk2empresatel]=[fkteltipo] apontando para a tabela telefonestipos[pkteltipo]
4	nutelefone	character	15	Sim	Número do telefone (somente os números].
5	txnomecontato	character varying	30	Nao	Nome de uma pessoa que atende como contato no telefone.
6	dtcadempresatel	date	NI	Nao	Data de geração do registro.
					
38. especialidadesmedicas		Comentário: Cadastro das Especialidades Médicas.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkespecialidade	integer	NI	Sim	pk da Tabela [pkespecialidade]=[pkespecialidade].
2	txnomeespecialidade	character varying	200	Sim	Nome usual completo (sem abreviações].
3	txdescrespecialidade	text	NI	Nao	Descrição completa das principais atribuições da especialidade (sem abreviações].
4	dtcadespecmedica	date	NI	Sim	Data de geração do registro.
					
39. estadosdospaises		Comentário: Cadastro dos Estados da República Federativa do Brasil			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkestadodopais	character	3	Sim	pk da Tabela [pkestadodopais]=[pkestadodopais]. Sigla do estado da união como identificado no Brasil.
2	txnomeestado	character varying	250	Sim	Nome (por extenso] do estado da união.
3	txnomecapital	character varying	250	Sim	Nome da Capital do Estado
4	qtareatotal	integer	0	Nao	Área total (em Km2] do estado.
5	qtcidades	smallint	0	Nao	Quantidade de Cidades do estado.
6	qtpopulacao	integer	0	Nao	Quantidade de pessoas que residem no estado
7	fkpais	character	3	Nao	fk [fk1estadodopais]=[fkpais] apontando para tabela paises[pkpais]
8	dtcadestadodopais	date	0	Sim	Data de geração do registro.
					
40. fabricantes		Comentário: Cadastro dos Fabricantes.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkfabricante	integer	NI	Sim	pk da Tabela [pkfabricante]=[pkfabricante].
2	txnomefabricante	character varying	250	Sim	Nome usual completo (sem abreviações].
3	txrazaosocial	character varying	250	Sim	Razão social completa.
4	nucnpj	character	16	Nao	Número do CNPJ do fabricante (somente números].
5	fklogradouro	integer	NI	Nao	fk [fk1fabricante]=[fklogradouro] apontando apontando para a tabela logradouros[pklogradouro] onde está sede ou fábrica.
6	txcomplemento	character varying	25	Nao	Texto com o complemento do logradouro comercial do cliente (número, andar, etc.]
7	nucep	character	8	Nao	Número do CEP.
8	fksetoratuacao	smallint	NI	Nao	fk [fk2fabricante]=[fksetoratuacao] apontando a tabela setoresdeatuacao[pksetoratuacao].
9	aoportefabricante	character	1	Nao	P|M|G – Porte do fabricante (Pequena | Média | Grande].
10	dtfundacao	date	NI	Nao	Data de fundação (criação da empresa] do fabricante.
11	dtcadfabricante	date	NI	Sim	Data de geração do registro.
					
41. fabricantestels		Comentário: Registros dos telefones dos fabricantes.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkfabricantetel	integer	NI	Sim	pk da Tabela [pkfabricantetel]=[pkfabricantetel].
2	fkfabricante	integer	NI	Sim	fk [fk1fabricantetel]=[fkfabricante] apontando para a tabela fabricantes[pkfabricante].
3	fkteltipo	smallint	NI	Nao	fk [fk2fabricantetel]=[fkteltipo] apontando para a tabela telefonestipos[pkteltipo]
4	nutelefone	character	15	Sim	Número do telefone com operadora e DDD (somente os números].
5	txnomecontato	character varying	30	Nao	Nome de uma pessoa que atende como contato no telefone.
6	dtcadfabricantetel	date	NI	Nao	Data de geração do registro.
					
42. faturas		Comentário: Cadastro das faturas que devem ser pagas pelas compras feitas por uma empresa.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkfatura	integer	NI	Sim	pk da Tabela [pkfatura]=[pkfatura]. Número inteiro sequencial crescente de 5 em 5.
2	fknunfcompra	integer	NI	Nao	fk [fk1fatura]=[fknunfcompra] apontando para a tabela nfcompras[pknunfcompra] da qual se gera a fatura..
3	dtvencimento	date	NI	Nao	Data de vencimento da fatura.
4	dtpagamento	date	NI	Nao	Data de pagamento da Fatura.
5	vlfatura	double precision	NI	Sim	Valor da Fatura.
6	vldesconto	double precision	NI	Sim	Valor de Desconto.
7	vlliquido	double precision	NI	Sim	Valor Líquido da Fatura
8	vlmulta	double precision	NI	Sim	Valor da Multa por atraso de pagamento da Fatura.
9	dtcadfatura	date	NI	Sim	Data de geração do registro.
					
43. fornecedores		Comentário: Cadastro dos Fornecedores de uma empresa.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkfornecedor	integer	NI	Sim	pk da Tabela [pkfornecedor]=[pkfornecedor].
2	txnomefornecedor	character varying	250	Nao	Nome usual completo (sem abreviações]
3	txrazaosocial	character varying	250	Nao	Razão social completa.
4	nucnpj	character	15	Nao	Número do Cadastro Nacional de Pessoas Jurídicas - Atribuído pelo Ministério da Economia.
5	fklogradouro	integer	NI	Nao	fk [fk1fornecedor]=[fklogradouro] apontando apontando para a tabela logradouros[pklogradouro] onde está o Fornecedor.
6	txcomplemento	character varying	25	Nao	Texto com o complemento do logradouro comercial do cliente (número, andar, etc.]
7	nucep	character	8	Nao	Número do CEP (somente números].
8	nusedes	numeric	NI	Nao	Número de sedes que o fornecedor possui (loja central e filiais].
9	vllimitecompra	double precision	NI	Sim	Valor Limite para compra com o Fornecedor.
10	fksetoratuacao	smallint	NI	Nao	fk [fk2fornecedor]=[fksetoratuacao] apontando para a tabela setoresdeatuacao[pksetoratuacao](setor de atuação do fornecedor].
11	aoportefornecedor	character	1	Nao	P|M|G – Porte do fornecedor (Pequena | Média | Grande].
12	dtfundacao	date	NI	Nao	Data de fundação do fornecedor.
13	dtcadfornecedor	date	NI	Sim	Data de geração do registro.
					
44. fornecedorestels		Comentário: Registro dos Telefones dos fornecedores.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkfornecedortel	integer	NI	Sim	pk da Tabela [pkfornecedortel]=[pkfornecedortel].
2	fkfornecedor	integer	NI	Sim	fk [fk1fornecedortel]=[fkfornecedor] apontando para a tabela fornecedores[pkfornecedor].
3	fkteltipo	smallint	NI	Nao	fk [fk2fornecedortel]=[fkteltipo] apontando para a tabela telefonestipos[pkteltipo]
4	nutelefone	character	15	Sim	Número do telefone (somente números].
5	txnomecontato	character varying	30	Nao	Nomes das pessoas que atendem como contato no telefone.
6	dtcadfornecedortel	date	NI	Nao	Data de geração do registro.
					
45. fornecimentos		Comentário: Registro com os produtos fornecidos por cada fornecedor. Lista simples atualizada sem data de referência.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkfornecimento	integer	NI	Sim	pk da Tabela [pkfornecimento]=[pkfornecimento]. Número inteiro sequencial crescente de 5 em 5.
2	ukceproduto	character	12	Sim	fk [fk1fornecimento]=[ukceproduto] apontando para a tabela produtos[pkproduto]. Forma com cccefornecedor uma UK {uk1fornecimentos=(cccefornecedor,ccprodutoce)}.
3	ukcefornecedor	integer	NI	Sim	fk [fk2fornecimento]=[cccefornecedor] apontando para a tabela fornecedores. Forma com ccprodutoce uma UK {uk1fornecimentos=(cccefornecedor,ccprodutoce)}.
4	dtcadfornecimento	date	NI	Sim	Data de geração do registro.
					
46. funcionarios		Comentário: Cadastro dos Funcionários			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkfuncionario	smallint	NI	Sim	pk da Tabela [pkfuncionario]=[pkfuncionario].
2	txprenomes	character varying	40	Sim	Nomes do funcionário sem abreviações e sem o sobrenome.
3	txsobrenome	character varying	20	Sim	Sobrenome completo (sem abreviações].
4	fkdepto	character	3	Nao	fk [fk1funcionario]=[fkdepto] apontando para a tabelas departamentos[pkdepto].
5	fkfuncao	integer	NI	Nao	fk [fk2funcionario]=[fkfuncao] apontando para a tabela funcoes[pkfuncao].
6	fkgrauescolar	integer	NI	Nao	fk [fk3funcionario]=[fkgrauescolar] apontando para a tabela grausdeescolaridade[pkgrauescolar] com o código do nível de educação (escolaridade]
7	fklogradouro	integer	NI	Nao	fk [fk4funcionario]=[fklogradouro] apontando para a tabela logradouros[pklogradouro] onde está a moradia do Funcionário.
8	txcomplemento	character varying	25	Nao	Texto com o complemento do logradouro comercial do cliente (número, andar, etc.]
9	nuramal	character	4	Nao	Número do ramal telefônico do funcionario.
10	dtcontratacao	date	NI	Nao	Data de contratação
11	aosexo	character	1	Nao	Atributo Operacional indicando o Sexo como Masculino e Feminino.
12	dtnascimento	date	NI	Nao	Data de nascimento
13	txresenha	text	NI	Nao	Texto descrevendo a personalidade e dinâmica profissional do funcionário.
14	vlsalario	double precision	NI	Nao	Valor do Salário Base do Funcionário.
15	vlbonus	double precision	NI	Nao	Valor do Bônus de ganho (se não houver deve ser 0-Zero].
16	vlcomissao	double precision	NI	Nao	Valor da comissão (se não houver deve ser 0-Zero].
17	nucep	character	8	Sim	Número do CEP (somente números].
18	dtcadfuncionario	date	NI	Sim	Data de geração do registro.
					
47. funcionariosplanos		Comentário: Registro dos planos de saúde dos funcionários.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkfuncionarioplano	integer	NI	Sim	pk da Tabela [pkfuncionarioplano]=[pkfuncionarioplano]. Número inteiro sequencial crescente de 5 em 5.
2	fkfuncionario	smallint	NI	Sim	fk [fk1funcionarioplano]=[fkfuncionario] apontando para a tabela funcionarios[pkfuncionario].
3	fkplanodesaude	integer	NI	Sim	fk [fk2funcionarioplano]=[fkplanodesaude] apontando para a tabela planosdesaude[pkplanodesaude]
4	dtvinculacao	date	NI	Sim	Data de vinculação do funcionário ao plano de saúde.
5	dtdesligamento	date	NI	Sim	Data de desligamento do funcionário ao plano de saúde.
6	dtcadfuncplano	date	NI	Nao	Data de geração do registro.
					
48. funcionariostels		Comentário: Registros dos telefones de cada funcionário.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkfuncionariotel	integer	NI	Sim	pk da Tabela [pkfuncionariotel]=[pkfuncionariotel].
2	fkfuncionario	smallint	NI	Sim	fk [fk1funcionariotel]=[fkfuncionario] apontando para a tabela funcionarios[pkfuncionario].
3	fkteltipo	smallint	NI	Nao	fk [fk2funcionariotel]=[fkteltipo] apontando para a tabela telefonestipos[pkteltipo].
4	nutelefone	character	15	Sim	Número do telefone (somente números].
5	txnomecontato	character varying	30	Nao	Nome de uma pessoa que atende como contato no telefone.
6	dtcadfuncionariotel	date	NI	Nao	Data de geração do registro.
					
49. funcoes		Comentário: Cadastro das funções que podem ser exercidas por funcionários.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkfuncao	smallint	NI	Sim	Pk da Tabela [pkfuncao]=[pkfuncao]
2	txnomefuncao	character varying	60	Sim	Nome completo e sem abreviações.
3	txdescricaofuncao	text	NI	Nao	Descrição completa das principais atribuições da função do profissional (sem abreviações]
4	qtanosprefuncao	smallint	NI	Nao	Quantidade de anos na empresa para assumir a função.
5	dtcadfuncao	date	NI	Sim	Data de geração do registro.
					
50. grausdeescolaridade		Comentário: Cadastro dos Graus de Escolaridade (Educação].			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkgrauescolar	smallint	NI	Sim	pk da Tabela [pkgraudeescolaridade]=[pkgraudeescolaridade].
2	txnomeescolaridade	character varying	30	Sim	Nome do nível de educação (sem abreviações].
3	qtanosdeestudo	smallint	NI	Sim	Quantidade de anos de estudo para alcançar o grau de escolaridade.
4	fkgrausprerequisitos	smallint	NI	Sim	fk [fk1grauescolar]=[fkgrausprerequisitos] apontando para a tabela grausdeescolaridade[pkgrauescolar]. CE reflexiva indicando o grau de escolaridade que deve ser anteriormente alcançado para cursar algum curso do grau de escolaridade corrente.
5	dtcadcegrauescolar	date	NI	Sim	Data de geração do registro.
					
51. habilitacoes		Comentário: Registro dos Cursos que cada professor tem habilitação para atuar.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkhabilitacao	smallint	NI	Sim	pk da Tabela [pkhabilitacao]=[pkhabilitacao]. Número inteiro sequencial crescente de 5 em 5.
2	fkcurso	smallint	NI	Sim	Parte da UK [uk1habilitacao]=[fkcurso,fkprofessor,dthabilitacao] e CE [fk1habilitacao]=[fkcurso] apontando para a tabela cursos[pkcurso].
3	fkprofessor	smallint	NI	Sim	Parte da UK [uk1habilitacao]=[fkcurso,fkprofessor,dthabilitacao] e CE [fk2habilitacao]=[fkprofessor] apontando para a tabela professores[pkprofessor].
4	dthabilitacao	date	NI	Sim	Parte da UK [uk1habilitacao]=[fkcurso,fkprofessor,dthabilitacao] é a Data de habilitação do professor para ministrar a disciplina.
5	dtcapacitacao	date	NI	Sim	Data quando o professor conseguiu a capacitação para ministrar a disciplina.
6	dtcadhabilitacao	date	NI	Sim	Data de geração do registro.
					
52. historicoprofissional		Comentário: Registro do histórico profissional de um funcionário.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkhistprof	smallint	NI	Sim	pk da Tabela [pkhistprof]=[pkhistprof]
2	fkfuncionario	smallint	NI	Sim	fk [fk1histprof]=[fkfuncionario] apontando para tabela funcionarios[pkfuncionario]s.
3	fkempresa	smallint	NI	Nao	fk [fk2histprof]=[fkempresa] apontando para tabela empresas[pkempresa].
4	fkatividade	smallint	NI	Sim	fk [fk3histprof]=[fkatividade] apontando para tabela atividades[pkatividade].
5	dtinicio	date	NI	Sim	Data de inicio de atividade do funcionário na empresa (na atividade]
6	dttermino	date	NI	Sim	Data de termino de atividade do funcionário na empresa (na atividade]
7	dtcadhistprof	date	NI	Sim	Data de geração do registro.
					
53. idiomas		Comentário: Cadastro dos Idiomas (linguas] praticados no mundo atualmente (2020].			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkidioma	smallint	NI	Sim	pk da Tabela [pkidioma]=[pkidioma].
2	txnomeidioma	character varying	30	Sim	Nome oficial do idioma reconhecido na ONU.
3	txdescricaoidioma	text	NI	Sim	Texto com descrição da estrutura do idioma. Morfologia, sintaxe principal, etc.
4	dtcadidioma	date	NI	Sim	Data de geração do registro.
					
54. idiomasfalados		Comentário: Cadastro dos idiomas falados em cada pais.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkidiomafalado	smallint	NI	Sim	pk da Tabela [pkidiomafalado]=[pkidiomafalado].
2	fkidioma	smallint	NI	Sim	fk [fk1idiomafalado]=[fkidioma] apontando para a tabela idiomas[pkidioma].
3	fkpais	character	3	Sim	fk [fk2idiomafalado]=[fkpais] apontando para a tabela pais[pkpais].
4	dtcadidiomafalado	date	NI	Sim	Data de geração do registro.
					
55. instituicoesdeensino		Comentário: Cadastro de Instituições de Ensino.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkinstituicao	smallint	NI	Sim	pk da Tabela [pkinstituicaodeensino]=[pkinstituicaodeensino].
2	txnomeinstituicao	character varying	200	Sim	Nome usual completo (sem abreviações]
3	fklogradouro	integer	NI	Nao	fk [fk1instituicao]=[fklogradouro] apontando para a tabela logradouros[pklogradouro] onde está a instituição de ensino.
4	txcomplemento	character varying	25	Nao	Texto com o complemento do logradouro comercial do cliente (número, andar, etc.]
5	aotipoinstituicao	character	1	Nao	G-pública (Gratuíta] | P-Particular.
6	dtfundacao	date	NI	Nao	Data de fundação da instituição de ensino.
7	nucep	character	8	Nao	Número do CEP (somente números].
8	dtcadinstensino	date	NI	Sim	Data de geração do registro.
					
56. instituicoesdeensinotels		Comentário: Registros dos telefones das Instituições de Ensino.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkinstituicaotel	smallint	NI	Sim	pk da Tabela [pkinstituicaotel]=[pkinstituicaotel]
2	fkinstituicao	smallint	NI	Sim	fk [fk1instituicaotel]=[fkinstituicao] apontando para a tabela instituicoesdeensino[pkinstituicao].
3	fkteltipo	smallint	NI	Nao	fk [fk2instituicaotel]=[fkteltipo] apontando para a tabela telefonestipos[pkteltipo]
4	nutelefone	character	15	Sim	Número do telefone (somente números].
5	txnomecontato	character varying	30	Nao	Nome de uma pessoa que atende como contato no telefone.
6	dtcadinstensinotel	date	NI	Nao	Data de geração do registro.
					
57. inventarios		Comentário: Cadastro com o levantamento de itens de estoque feitos pelos funcionários.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkinventario	smallint	NI	Sim	pk da Tabela [pkinventario]=[pkinventario]. Número inteiro sequencial crescente de 5 em 5.
2	ukceproduto	character	12	Sim	Parte da CC [uk1inventario]=[ukceproduto,ukcefuncionario,ukdtinventario] e CE [fk1inventario]=[fkproduto] apontando para a tabela produtos[pkproduto].
3	ukcefuncionario	smallint	NI	Sim	Parte da CC [uk1inventario]=[ukceproduto,ukcefuncionario,ukdtinventario] e CE [fk2inventario]=[fkfuncionario] apontando para a tabela funcionarios[pkfuncionario].
4	ukdtinventario	date	NI	Sim	Parte da CC [uk1inventario]=[ukceproduto,ukcefuncionario,ukdtinventario] é a Data de realização do inventário de estoque.
5	qtestoque	real	NI	Sim	Quantidade contabilizada do item de produto.
6	txlocal	character varying	250	Nao	Local de realização do Inventário
7	dtcadinventario	date	NI	Sim	Data de geração do registro.
					
58. livros		Comentário: Cadastro dos Livros que podem ser usados em bibliografias de disciplinas.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pklivro	integer	NI	Sim	Pk da Tabela [pklivro]=[pklivro].
2	txtitulolivro	character varying	90	Sim	Texto com o título do acervo
3	nuisbn	bigint	NI	Nao	Número do ISBN (International Standard Book Number]
4	fkeditora	integer	NI	Nao	fk [fk1livro]=[fkeditora] apontando para a tabela editoras[pkeditora] com o código da editora que publicou o livro.
5	dtpublicacao	date	NI	Nao	Data de publicação do Livro
6	nuanopublicacao	character	4	Nao	Ano de Publicação do Livro
7	qtpaginas	smallint	NI	Nao	Quantidade de páginas que tem o livro (sem contar capa e contracapa.
8	qtexemplares	smallint	NI	Nao	Quantidade total do livro no acervo, é alterada no movimento de retirada
9	qtexemplaresconsulta	numeric	NI	Nao	Quantidade mínima (em consulta] apontando para o livro no acervo
10	dtcadlivro	date	NI	Sim	Data de geração do registro.
					
59. logradouros		Comentário: Cadastro dos logradouros.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pklogradouro	integer	NI	Sim	pk da Tabela [pklogradouro]=[pklogradouro].
2	txnomelogradouro	character varying	120	Sim	Texto com o nome do logradouro com o tipo (praça, rua, etc.] indicado.
3	fkcidade	integer	NI	Nao	fk [fk1logradouro]=[fkcidade] apontando para a tabela de cidades[pkcidade].
4	fktipologradouro	integer	NI	Nao	fk [fk2logradouro]=[fktipologradouro] apontando para a tabela de logradourostipos[pktipologradouro].
5	aotipodepiso	character	1	Nao	Atributo Opoeracional - Valor dentro de uma restrita série de valores. Indica o tipo principal do pavimento do logradouro. 1-terra, 2-paralelepípedo, 3-asfalto.
6	dtcadlogradouro	date	NI	Sim	Data de geração do registro.
					
60. logradourostipos		Comentário: Cadastro dos tipo de logradouros			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pktipologradouro	smallint	NI	Sim	pk da Tabela [pktipologradouro]=[pktipologradouro].
2	txnometipologradouro	character varying	250	Sim	Nome identificando o Tipo de Logradouro.
3	dtcadtipologradouro	date	NI	Sim	Data de geração do registro.				
					
61. matriculas		Comentário: Cadastro das matrículas dos funcionários em disciplinas que foram atribuídas aos professores. Tem uma chave primária simples, sequencial.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkmatricula	integer	NI	Sim	pk da Tabela [pkmatricula]=[pkmatricula].
2	fkturma	smallint	NI	Sim	fk [fk1matricula]=[fkturma] apontando para a tabela turmas[pkturma].
3	fkfuncionario	smallint	NI	Sim	fk [fk2matricula]=[fkfuncionario] com o código do funcionario[pkfuncionario].
4	dtmatricula	date	NI	Sim	Data de Matrícula (pode ser diferente de dtcadmatricula].
5	dtvalidade	date	NI	Sim	Data de Validade da Matrícula (duração do vinculo funcionário-disciplina].
6	dtcadmatricula	date	NI	Sim	Data de geração do registro.
					
62. medicos		Comentário: Cadastro de médicos.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkmedico	integer	NI	Sim	pk da Tabela [pkmedico]=[pkmedico].
2	txnomemedico	character varying	200	Sim	Nome completo e sem abreviação
3	nucrm	integer	NI	Sim	Número do registro do médico no Conselho Regional dos médicos.
4	fkespecialidade	smallint	NI	Nao	fk [fk1medico]=[fkespecialidade] apontando para a tabela especialidadesmedicas[pkespecialidade].
5	fkinstituicao	smallint	NI	Nao	fk [fk2medico]=[fkinstituicaodeensino] apontando para a tabela instituicoesdeensino[pkinstituicao].
6	fklogradouromoradia	integer	NI	Nao	fk [fk3medico]=[fklogradouromoradia] apontando apontando para a tabela logradouros[pklogradouro] com o código do Logradouro de moradia do Médico
7	txcomplementomoradia	character varying	50	Nao	Texto com o complemento do logradouro de moradia do médico (número, andar, etc.]
8	nucepmoradia	character	8	Nao	Número do CEP do Logradouro da Moradia do médico (somente números]
9	fklogradouroclinica	integer	NI	Nao	fk [fk4medico]=[fklogradouroclinica] apontando para visão logrcompleto[pklogradouro]com o código do Logradouro da Clínica Principal do Médico.
10	txcomplementoclinica	character varying	50	Nao	Texto com o complemento do logradouro da clínica do médico (número, andar, etc.]
11	nucepclinica	character	8	Nao	Número do CEP do logradouro da clínica onde trabalhar o médico. Somente números.
12	aosituacao	character	1	Nao	Atributo operacional com valor (A]tivado | (D]esativado
13	dtcadmedico	date	NI	Sim	Data de geração do registro.
					
63. medicostels		Comentário: Registro dos Telefones dos medicos.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkmedicotel	integer	NI	Sim	pk da Tabela [pkmedicotel]=[pkmedicotel].
2	fkmedico	integer	NI	Sim	fk [fk1medicotel]=[fkmedico] apontando para a tabela medicos[pkmedico].
3	fkteltipo	smallint	NI	Nao	fk [fk2medicotel]=[fkteltipo] apontando para a tabela telefonestipos[pkteltipo]
4	nutelefone	character	15	Sim	Número do telefone (somente números].
5	txnomecontato	character varying	30	Nao	Nomes das pessoas que atendem como contato no telefone.
6	dtcadmedicotel	date	NI	Nao	Data de geração do registro.
					
64. movimentos		Comentário: Registro de movimentos de livros realizados pelos funcionários.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkmovimento	integer	NI	Sim	pk da Tabela [pkmovimento]=[pkmovimento].
2	fklivro	integer	NI	Nao	fk [fk1movimento]=[fklivro] apontando para a tabela livros[pklivro] (registrado no movimento].
3	fkfuncionario	smallint	NI	Nao	fk [fk2movimento]=[fkfuncionario] apontando para a tabela funcionarios[pkfuncionario] (que faz o movimento].
4	dtmovimento	date	NI	Nao	Data de realização do movimento
5	fktipomovimento	smallint	NI	Nao	fk [fk3movimento]=[fktipomovimento] apontando para a tabela movimentostipos[pktipomovimento].
6	dtprevistadevolucao	date	NI	Nao	Data prevista de devolução do livro
7	dtrealdevolucao	date	NI	Nao	Data real da devolução
8	dtcadmovimento	date	NI	Sim	Data de geração do registro.
					
65. movimentostipos		Comentário: Cadastro dos tipos de movimentos.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pktipomovimento	smallint	NI	Sim	pk da Tabela [pktipomovimento]=[pktipomovimento].
2	txnometipomov	character varying	80	Sim	Nome do tipo de movimento (sem abreviações].
3	aopermiteretirada	character	1	Sim	S|N para “permite” ou “não permite” retirada do exemplo do espaço da biblioteca. biblioteca.
4	dtcadmovimtipo	date	NI	Sim	Data de geração do registro.
					
66. nfcompras		Comentário: Cadastro das Notas Fiscais de Compras. É a entidade forte entre nf_compras e nf_compras_itens.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pknunfcompra	integer	NI	Sim	pk da Tabela [pknunfcompra]=[pknunfcompra].
2	fkfornecedor	integer	NI	Nao	fk [fk1nunfcompra]=[fkfornecedor] apontando para a tabela fornecedores[pkfornecedor] da Nota de Compra
3	fkfuncionario	smallint	NI	Nao	fk [fk2nunfcompra]=[fkfuncionario] apontando para a tabela funcionarios[pkfuncionario].
4	dtnfcompra	date	NI	Nao	Data de realização da venda que gera a nota de venda.
5	vltotalnfcompra	double precision	NI	Nao	Valor total da Nota de Compra
6	aosituacao	character	1	Nao	Indicador da situação da Nota como "A" (a pagar] ou "P" (paga].
7	txcomentarios	character varying	900	Nao	Comentário geral sobre a Nota de Compra
8	dtcadnfcompra	date	NI	Sim	Data de geração do registro.
					
67. nfcomprasitens		Comentário: Cadastro das Notas Fiscais de Compras. É a entidade fraca entre nf_compras e nf_compras_itens.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	fknunfcompra	integer	NI	Sim	Parte da CP [pknfcompraitem]=[fknunfcompra,fkproduto] [composta] e CE [fk1nfcompraitem]=[fknunfcompra] apontando para a tabela nfcompras[pknunfcompra] com o número da nota fiscal de compra
2	fkproduto	character	12	Sim	Parte da CP [pknfcompraitem]=[fknunfcompra,fkproduto] [composta] e CE [fk2nfcompraitem]=[fkproduto] apontando para a tabela produtos[pkroduto].
3	qtcomprada	numeric	NI	Sim	Quantidade de produto vendida
4	vlunitario	double precision	NI	Sim	Valor unitário do produto na Nota de venda (pode ser ? do valor do estoque]
					
68. nfvendas		Comentário: Cadastro das Notas Fiscais de Vendas. É a entidade forte entre nf_vendas e nf_vendas_itens.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pknunfvenda	integer	NI	Sim	pk da Tabela [pknunfvenda]=[pknunfvenda].
2	fkcliente	integer	NI	Nao	fk [fk1nunfvenda]=[fkcliente] apontando para a tabela clientes[pkcliente] (para o qual se faz a venda].
3	fkfuncionario	smallint	NI	Nao	fk [fk2nunfvenda]=[fkfuncionario] apontando para a tabela funcionarios[pkfuncionario].
